id	rank	argument
3	0.25	-Less time wasted to pick the product; -Fast and often reliable services for delivery; -Convenience of not leaving the house; -Cheaper solutions;
75	0.5555555560000001	Access to online shopping doesn't necessarily mean I will buy things online. Sometimes I just browse what's available online, but still go into the store to actually make my purchase.
127	0.222222222	Allows people a greater variety to select from and therefore increases happiness
130	0.75	Allows social mobility – because of the big competition the prices of crucial products (like computers and smartphones) also decrease, making it more affordable for people who otherwise wouldn't buy it.
635	0.727272727	Buyers can purchase cheaper products since the overhead costs of business are lower
665	0.333333333	By shopping online, shoppers stay off the roads, making everyone safer.
768	0.647058824	Conventional stores usually only stock clothing for thinner body types who fit the gender binary, online shopping allows individuals who don't fit conventional beauty standards to have easier access to clothing that suits them.
867	0.25	Decreases product price and make it more available.
1001	0.75	Economy of scale allows prices to be cheaper and quality to improve
1496	0.5555555560000001	Given that the buyer knows what he wants to buy, online shopping let the buyer easily find the wanted product in the best available price
1504	0.7	Gives consumers more information and more ability to compare prices and hence prevents them from spending more money than needed
1599	0.75	I disagree, on-line shopping a boom for consumerism. Consumers are able to shop for the best value almost instantly, removing the need for traveling from store to store to get the best deal.
1600	0.444444444	I disagree and feel that it actually saves time and resources by allowing more productive societies.
1614	0.23076923100000002	I love online shopping, I think this solve weather problems when shopping, save fuel, less traffic and so on
1763	0.666666667	In a world where people work for 8 hours out of home and do large hours of conmute, online shopping is a good way to use their for more interesting things
1818	0.444444444	Increases consumption because it takes less time and effort to buy things. Economy is a matter of how many people believe in it and spend their money, thix increases the overall utility
1820	0.454545455	Increases the amount of small businesses. It is now easier to maintain a business because money doesn't need to be paid on a physical space.
1913	0.75	It's easier to start an online business than a traditional one, lowering the launching requirement of buisnesses.
1941	0.222222222	It enables cheaper products by not needing to have physical store locations (which have rent), but only a warehouse.
1943	0.857142857	It enables people to get exactly what they want, from anywhere in the world, not restricted by what's currently in stock of your local store's inventory.
1944	0.428571429	It enables people to not waste valuable time by going to stores.
1945	0.5555555560000001	It enables redistribution of wealth through rich people buying from poorer areas instead of their local, richer, stores and manufacturers.
1955	0.3	It helps vendors and providers to capture a bigger chunk of the value across the whole value chain
1984	0.090909091	It is extremely convenient for busy people who do not have time to go to retail shops. I DO THE MAJORITY OF MY SHOPPING ONLINE, do not know what I would do without it.
2032	0.153846154	It makes it more convenient to find what you are looking for
2034	0.75	It makes selling stuff much easier through Amazon/Ebay, which means that more people can create, and buyers have more great options
2040	0.444444444	It removes the barrier of having a shopfront to sell goods and services thereby encouraging more entrepreneurship and hence boost the economy.
